Order_ID,Order_Date,Product_Category,Product,Quantity,Unit_Price,Total_Sales,Customer_Gender,Customer_Age,Region,Payment_Method
ORD0001,2025-04-25,Electronics,Headphones,3,10830,32490,Male,65,North,UPI
ORD0002,2025-02-17,Sports,Tennis Racket,1,800,800,Male,32,North,Credit Card
ORD0003,2025-10-29,Sports,Tennis Racket,2,5090,10180,Female,18,South,Cash
ORD0004,2025-06-22,Home & Kitchen,Lamp,2,2500,5000,Male,23,West,UPI
ORD0005,2025-01-23,Home & Kitchen,Lamp,5,3000,15000,Female,52,North,Cash
ORD0006,2025-11-13,Electronics,Smartwatch,3,26540,79620,Female,54,South,UPI
ORD0007,2025-04-30,Electronics,Smartphone,3,4060,12180,Male,42,East,Cash
ORD0008,2025-04-18,Home & Kitchen,Cookware Set,3,3930,11790,Female,62,North,Credit Card
ORD0009,2025-07-14,Sports,Yoga Mat,2,5230,10460,Female,58,South,Debit Card
ORD0010,2025-07-25,Electronics,Smartphone,1,13720,13720,Female,22,South,Debit Card
ORD0011,2025-08-23,Clothing,Sneakers,4,3790,15160,Male,34,South,Credit Card
ORD0012,2025-10-27,Sports,Dumbbells,3,8140,24420,Female,55,West,Debit Card
ORD0013,2025-02-16,Clothing,Jeans,5,3020,15100,Male,25,South,Credit Card
ORD0014,2025-07-15,Beauty,Lipstick,1,2170,2170,Female,51,East,UPI
ORD0015,2025-06-24,Electronics,Smartwatch,3,27050,81150,Male,36,West,Credit Card
ORD0016,2025-04-02,Beauty,Face Wash,3,2760,8280,Male,58,East,Credit Card
ORD0017,2025-09-29,Clothing,Jacket,2,3260,6520,Male,56,East,Cash
ORD0018,2025-05-03,Electronics,Headphones,3,13390,40170,Male,33,North,UPI
ORD0019,2025-03-07,Beauty,Face Wash,5,840,4200,Female,53,South,Debit Card
ORD0020,2025-10-04,Sports,Dumbbells,4,2660,10640,Male,63,East,Cash
ORD0021,2025-03-03,Home & Kitchen,Bedsheet,5,4920,24600,Male,32,North,Debit Card
ORD0022,2025-10-29,Electronics,Smartwatch,5,10220,51100,Male,18,North,UPI
ORD0023,2025-06-19,Clothing,T-Shirt,1,4900,4900,Male,50,South,Debit Card
ORD0024,2025-10-20,Beauty,Shampoo,5,870,4350,Female,33,West,Cash
ORD0025,2025-08-09,Clothing,T-Shirt,1,3870,3870,Female,45,West,Cash
ORD0026,2025-06-23,Electronics,Headphones,1,17290,17290,Male,33,South,Credit Card
ORD0027,2025-04-04,Sports,Tennis Racket,2,4820,9640,Female,47,South,UPI
ORD0028,2025-11-30,Beauty,Lipstick,1,450,450,Male,23,South,Credit Card
ORD0029,2025-07-25,Beauty,Perfume,4,1290,5160,Male,28,West,UPI
ORD0030,2025-08-05,Beauty,Moisturizer,4,1660,6640,Female,27,South,Debit Card
ORD0031,2025-10-05,Clothing,T-Shirt,5,4260,21300,Male,65,East,UPI
ORD0032,2025-09-29,Electronics,Smartwatch,4,21390,85560,Male,21,North,Credit Card
ORD0033,2025-05-01,Electronics,Smartwatch,1,28450,28450,Female,25,South,UPI
ORD0034,2025-10-26,Sports,Football,4,7230,28920,Female,34,South,Debit Card
ORD0035,2025-12-10,Clothing,Jacket,4,1170,4680,Female,47,East,UPI
ORD0036,2025-02-21,Electronics,Mouse,5,23860,119300,Male,52,South,Debit Card
ORD0037,2025-05-06,Clothing,Jacket,1,5000,5000,Female,36,South,Cash
ORD0038,2025-12-01,Sports,Cricket Bat,5,8760,43800,Male,60,East,UPI
